test_image,response,resptime,r/g/b, q, expected, category, size (in Bytes)
boy,3,10.524546,r,8,True,ausgeglichen,1854167
buildings-1,4,6.19956,b,64,True,bunt,1464487
buildings-1,1,1.116129,r,64,True,bunt,1462046
colorful-flowers,3,8.621598,g,8,True,bunt,1865947
sunflower,4,9.426741,g,16,True,dominant,1630932
women-portrait-blue,2,1.929532,r,16,False,dominant,1430798
colorful-flowers,4,12.846042,r,8,True,bunt,1858237
buildings-1,1,8.675991,r,32,True,bunt,1501470
landscape-mountains-1,1,1.372544,r,64,False,bunt,1645847
women-portrait,1,0.900261,g,64,False,dominant,1434450
chameleon,3,6.872194,r,32,False,dominant,1549741
protrait-man,4,10.499315,b,16,False,ausgeglichen,983930
sunflower,4,8.801415,b,64,False,dominant,1481298
sunflower,4,3.199367,g,2,True,dominant,1799423
sunflower,2,2.825289,g,32,True,dominant,1575103
women-portrait,4,11.018601,b,8,False,dominant,1566554
boy,4,9.923123,g,2,False,ausgeglichen,1986269
parrot-1,4,6.20915,g,2,False,dominant,1487599
colorful-flowers,3,2.81269,g,16,True,bunt,1806067
chameleon,5,6.838936,b,16,False,dominant,1577943
colorful-flowers,5,6.044083,b,16,True,bunt,1701535
landscape-mountains-1,1,2.287369,b,64,True,bunt,1666004
boy,4,6.301478,g,8,False,ausgeglichen,1885348
sunflower,3,2.123001,b,2,False,dominant,1782336
sunflower,3,1.869729,b,8,False,dominant,1642842
parrot-1,3,3.763802,r,16,True,dominant,1328697
buildings-1,3,3.807408,r,16,True,bunt,1554914
colorful-flowers,3,10.521322,b,8,True,bunt,1773313
women-portrait,1,1.205711,b,64,False,dominant,1405429
women-portrait,3,8.891731,g,16,False,dominant,1536851
colorful-flowers,1,1.161127,g,64,True,bunt,1698274
chameleon,1,1.147907,g,64,True,dominant,1517897
protrait-man,3,6.15972,r,8,False,ausgeglichen,1027811
women-portrait,5,5.942912,b,2,False,dominant,1673259
protrait-man,2,1.88851,b,32,False,ausgeglichen,947520
boy,4,5.891482,b,2,True,ausgeglichen,1967649
parrot-1,2,3.905851,b,64,False,dominant,1245966
women-portrait,4,16.318659,b,16,False,dominant,1512537
sunflower,1,2.637005,r,64,True,dominant,1521414
chameleon,4,4.59033,g,16,True,dominant,1620124
women-portrait-blue,1,3.724538,r,32,False,dominant,1376305
boy,4,,n,0,False,ausgeglichen,3613333
buildings-1,2,,n,0,False,bunt,3614372
chameleon,5,,n,0,False,dominant,3612735
colorful-flowers,4,,n,0,False,bunt,3615135
landscape-mountains-1,5,,n,0,False,bunt,3612553
parrot-1,4,,n,0,False,dominant,3613869
protrait-man,3,,n,0,False,ausgeglichen,3611150
sunflower,3,,n,0,False,dominant,3615358
women-portrait,5,,n,0,False,dominant,3612827
women-portrait-blue,4,,n,0,False,dominant,3611479
landscape-mountains-1,1,2.076895,r,64,False,bunt,1645847
women-portrait-blue,1,0.83176,g,32,False,dominant,1430156
boy,3,1.426864,g,16,False,ausgeglichen,1826677
boy,4,4.875725,r,8,True,ausgeglichen,1854167
chameleon,1,1.105483,g,64,True,dominant,1517897
sunflower,4,1.776343,r,16,True,dominant,1620613
parrot-1,3,2.33163,b,8,False,dominant,1376723
chameleon,3,1.526976,n,0,False,dominant,3612735
women-portrait,1,1.164952,r,32,True,dominant,1432515
buildings-1,4,1.541347,b,32,True,bunt,1512992
