test_image,response,resptime,r/g/b, q, expected, category, size (in Bytes)
colorful-flowers,4,2.824724,r,8,True,bunt,1858237
boy,3,2.168008,b,32,True,ausgeglichen,1724880
women-portrait,5,5.906398,b,8,False,dominant,1566554
protrait-man,5,2.156241,r,8,False,ausgeglichen,1027811
colorful-flowers,4,6.039884,b,16,True,bunt,1701535
protrait-man,2,3.28129,g,16,False,ausgeglichen,1021255
boy,1,1.58482,g,32,False,ausgeglichen,1755699
protrait-man,4,2.704447,r,16,False,ausgeglichen,995100
boy,4,1.180595,r,16,True,ausgeglichen,1792184
landscape-mountains-1,4,2.986955,r,32,False,bunt,1697798
colorful-flowers,3,9.384851,g,16,True,bunt,1806067
parrot-1,4,3.936145,r,2,True,dominant,1476590
women-portrait-blue,4,4.20329,b,2,True,dominant,1622899
boy,2,2.016757,r,64,True,ausgeglichen,1665296
protrait-man,3,2.267996,g,8,False,ausgeglichen,1057146
protrait-man,2,1.119123,g,32,False,ausgeglichen,988913
buildings-1,4,5.384139,r,2,True,bunt,1730820
chameleon,4,2.999423,b,8,False,dominant,1636571
colorful-flowers,4,4.042858,r,16,True,bunt,1798205
parrot-1,5,3.713823,r,16,True,dominant,1328697
women-portrait-blue,2,2.409183,g,32,False,dominant,1430156
chameleon,4,7.527538,b,16,False,dominant,1577943
women-portrait-blue,4,1.351372,r,2,False,dominant,1596626
sunflower,4,1.519794,r,32,True,dominant,1563355
landscape-mountains-1,4,1.877562,r,2,False,bunt,1959463
women-portrait-blue,5,1.351561,b,32,True,dominant,1411735
sunflower,5,1.243881,g,8,True,dominant,1692156
protrait-man,1,1.19116,g,64,False,ausgeglichen,954435
buildings-1,4,10.635969,b,64,True,bunt,1464487
chameleon,3,2.797094,r,32,False,dominant,1549741
parrot-1,4,7.154996,r,8,True,dominant,1378776
parrot-1,4,1.019359,b,2,False,dominant,1474967
parrot-1,4,0.317367,b,16,False,dominant,1326265
women-portrait,4,0.097999,g,2,False,dominant,1686824
buildings-1,1,4.859663,g,64,False,bunt,1504452
boy,1,0.896609,g,64,False,ausgeglichen,1697505
chameleon,4,6.766672,g,2,True,dominant,1780385
women-portrait-blue,4,1.537818,r,16,False,dominant,1430798
buildings-1,4,27.272525,b,8,True,bunt,1620062
sunflower,4,6.974754,g,16,True,dominant,1630932
sunflower,5,0.970095,b,16,False,dominant,1577758
chameleon,4,5.453838,r,8,False,dominant,1656610
landscape-mountains-1,3,2.802676,g,16,True,bunt,1802081
colorful-flowers,4,2.837696,g,8,True,bunt,1865947
sunflower,5,3.44059,g,2,True,dominant,1799423
sunflower,5,1.436579,b,32,False,dominant,1519261
protrait-man,5,1.730575,r,2,False,ausgeglichen,1102650
landscape-mountains-1,5,1.392286,b,2,True,bunt,1966749
chameleon,3,1.591742,g,32,True,dominant,1563034
protrait-man,4,1.829554,b,16,False,ausgeglichen,983930
women-portrait-blue,3,2.140344,r,8,False,dominant,1481163
protrait-man,4,1.62452,g,2,False,ausgeglichen,1120786
buildings-1,4,1.213684,r,8,True,bunt,1613539
landscape-mountains-1,3,2.037743,b,32,True,bunt,1719559
protrait-man,4,2.269339,b,2,False,ausgeglichen,1098420
women-portrait,2,1.28666,g,32,False,dominant,1478226
protrait-man,2,1.028022,b,64,False,ausgeglichen,917447
women-portrait-blue,4,4.233789,g,2,False,dominant,1623040
protrait-man,3,1.408345,r,32,False,ausgeglichen,955805
women-portrait,4,1.997168,r,2,True,dominant,1668639
colorful-flowers,3,1.795091,r,32,True,bunt,1737132
women-portrait,3,1.138182,r,32,True,dominant,1432515
colorful-flowers,4,5.1418,b,8,True,bunt,1773313
women-portrait,3,2.983535,b,32,False,dominant,1451947
buildings-1,4,3.616492,b,2,True,bunt,1732860
landscape-mountains-1,1,1.515615,g,64,True,bunt,1693941
sunflower,4,6.148336,b,8,False,dominant,1642842
buildings-1,3,3.852772,b,32,True,bunt,1512992
parrot-1,4,4.104891,b,64,False,dominant,1245966
protrait-man,2,1.856084,g,32,False,ausgeglichen,988913
women-portrait,5,2.57164,r,2,True,dominant,1668639
parrot-1,5,4.009442,g,16,False,dominant,1361433
sunflower,5,1.317888,b,16,False,dominant,1577758
chameleon,5,1.775066,g,2,True,dominant,1780385
protrait-man,4,3.09719,r,16,False,ausgeglichen,995100
colorful-flowers,5,5.71238,b,32,True,bunt,1650075
chameleon,5,2.183165,b,32,False,dominant,1526202
women-portrait-blue,3,3.266535,g,32,False,dominant,1430156
colorful-flowers,3,1.611747,r,64,True,bunt,1687900
buildings-1,2,1.363742,g,64,False,bunt,1504452
boy,5,1.747545,b,2,True,ausgeglichen,1967649
parrot-1,4,1.877912,r,16,True,dominant,1328697
parrot-1,3,1.458304,g,32,False,dominant,1316312
protrait-man,2,4.989709,g,16,False,ausgeglichen,1021255
women-portrait-blue,4,7.294968,b,16,True,dominant,1470592
protrait-man,5,1.528441,r,8,False,ausgeglichen,1027811
landscape-mountains-1,3,2.300796,b,32,True,bunt,1719559
protrait-man,2,2.644836,r,32,False,ausgeglichen,955805
boy,5,1.449956,b,8,True,ausgeglichen,1846232
boy,5,2.999096,r,2,True,ausgeglichen,1970444
landscape-mountains-1,5,2.004017,r,16,False,bunt,1760551
chameleon,2,2.005166,g,64,True,dominant,1517897
chameleon,1,2.634148,g,32,True,dominant,1563034
boy,5,1.888221,r,16,True,ausgeglichen,1792184
chameleon,4,4.228435,r,32,False,dominant,1549741
buildings-1,2,1.972172,g,32,False,bunt,1540870
women-portrait,5,3.11964,b,16,False,dominant,1512537
sunflower,4,3.835366,r,64,True,dominant,1521414
women-portrait,3,2.31937,g,16,False,dominant,1536851
landscape-mountains-1,5,4.039483,g,8,True,bunt,1867469
colorful-flowers,2,1.718843,g,32,True,bunt,1745745
women-portrait,4,5.169217,g,8,False,dominant,1593928
chameleon,5,1.613328,b,16,False,dominant,1577943
women-portrait,5,2.489626,r,16,True,dominant,1489510
chameleon,5,3.109954,g,16,True,dominant,1620124
landscape-mountains-1,3,5.715274,g,16,True,bunt,1802081
colorful-flowers,1,2.220774,g,64,True,bunt,1698274
boy,1,1.438948,r,64,True,ausgeglichen,1665296
women-portrait,1,1.172021,g,64,False,dominant,1434450
colorful-flowers,5,3.54135,b,8,True,bunt,1773313
women-portrait,4,4.792768,b,32,False,dominant,1451947
women-portrait-blue,5,1.810855,b,8,True,dominant,1517539
protrait-man,3,1.97277,b,32,False,ausgeglichen,947520
sunflower,5,2.323435,g,16,True,dominant,1630932
women-portrait,5,2.153076,g,2,False,dominant,1686824
sunflower,5,1.84767,b,32,False,dominant,1519261
boy,2,2.981758,r,32,True,ausgeglichen,1724988
boy,5,2.20351,g,16,False,ausgeglichen,1826677
colorful-flowers,5,3.79283,g,2,True,bunt,1979529
landscape-mountains-1,3,7.753335,b,64,True,bunt,1666004
parrot-1,4,9.780902,r,32,True,dominant,1283118
sunflower,5,1.22003,r,2,True,dominant,1794731
parrot-1,5,2.433134,g,2,False,dominant,1487599
landscape-mountains-1,5,7.591972,r,2,False,bunt,1959463
sunflower,5,1.747373,b,2,False,dominant,1782336
women-portrait-blue,3,4.500306,b,64,True,dominant,1379057
sunflower,5,1.506686,r,8,True,dominant,1677477
parrot-1,5,3.359747,b,2,False,dominant,1474967
women-portrait,3,4.873472,b,64,False,dominant,1405429
colorful-flowers,3,2.749682,g,16,True,bunt,1806067
women-portrait,2,6.185018,g,32,False,dominant,1478226
buildings-1,5,3.385284,r,32,True,bunt,1501470
women-portrait,5,5.581692,b,2,False,dominant,1673259
landscape-mountains-1,5,1.374119,r,8,False,bunt,1825728
women-portrait-blue,5,3.029296,g,8,False,dominant,1533223
landscape-mountains-1,5,2.048161,b,2,True,bunt,1966749
women-portrait-blue,5,3.068312,r,16,False,dominant,1430798
sunflower,5,3.390628,r,16,True,dominant,1620613
sunflower,5,1.659113,b,8,False,dominant,1642842
chameleon,5,1.851642,b,64,False,dominant,1484135
landscape-mountains-1,4,4.441602,r,32,False,bunt,1697798
protrait-man,3,2.616214,g,8,False,ausgeglichen,1057146
women-portrait-blue,5,1.539342,b,2,True,dominant,1622899
parrot-1,5,1.187758,r,2,True,dominant,1476590
buildings-1,5,1.587241,b,64,True,bunt,1464487
chameleon,5,1.161382,b,2,False,dominant,1770933
chameleon,5,2.66972,r,8,False,dominant,1656610
colorful-flowers,5,3.4392,r,8,True,bunt,1858237
chameleon,3,4.143441,r,64,False,dominant,1501954
sunflower,3,3.433203,g,32,True,dominant,1575103
buildings-1,2,1.446929,r,64,True,bunt,1462046
colorful-flowers,5,2.250265,r,16,True,bunt,1798205
protrait-man,5,1.597175,r,2,False,ausgeglichen,1102650
parrot-1,2,2.789493,r,64,True,dominant,1248183
boy,1,1.254066,g,64,False,ausgeglichen,1697505
protrait-man,5,1.61676,b,2,False,ausgeglichen,1098420
colorful-flowers,3,3.336593,b,64,True,bunt,1607054
buildings-1,5,3.320701,g,2,False,bunt,1742597
buildings-1,2,1.798634,g,16,False,bunt,1586216
sunflower,5,2.683115,r,32,True,dominant,1563355
boy,5,2.021068,r,8,True,ausgeglichen,1854167
women-portrait-blue,5,1.287537,g,2,False,dominant,1623040
chameleon,5,1.353873,b,8,False,dominant,1636571
protrait-man,2,3.000014,b,64,False,ausgeglichen,917447
colorful-flowers,5,1.54873,b,16,True,bunt,1701535
boy,5,1.639773,b,16,True,ausgeglichen,1788808
boy,3,3.552904,b,32,True,ausgeglichen,1724880
parrot-1,5,2.791654,b,32,False,dominant,1279196
buildings-1,4,6.899271,g,8,False,bunt,1639884
women-portrait-blue,3,2.716742,g,16,False,dominant,1494707
sunflower,2,1.354406,g,64,True,dominant,1524907
protrait-man,5,7.860161,g,2,False,ausgeglichen,1120786
chameleon,5,1.204126,r,2,False,dominant,1774469
protrait-man,1,1.930081,g,64,False,ausgeglichen,954435
women-portrait,5,1.42199,b,8,False,dominant,1566554
parrot-1,5,2.098395,b,16,False,dominant,1326265
women-portrait-blue,3,1.697044,r,32,False,dominant,1376305
colorful-flowers,5,2.793744,b,2,True,bunt,1948480
women-portrait,2,2.182477,r,32,True,dominant,1432515
women-portrait-blue,5,1.048588,r,2,False,dominant,1596626
women-portrait,1,1.429043,r,64,True,dominant,1388210
colorful-flowers,3,4.162861,r,32,True,bunt,1737132
sunflower,5,2.199523,g,2,True,dominant,1799423
chameleon,5,1.8042,g,8,True,dominant,1674493
boy,2,2.379909,b,64,True,ausgeglichen,1667838
buildings-1,5,1.757778,r,8,True,bunt,1613539
landscape-mountains-1,2,2.073224,g,32,True,bunt,1743767
boy,5,1.337699,g,8,False,ausgeglichen,1885348
protrait-man,5,5.202943,b,8,False,ausgeglichen,1019660
protrait-man,1,1.651419,r,64,False,ausgeglichen,929575
landscape-mountains-1,5,3.050276,b,8,True,bunt,1848711
landscape-mountains-1,2,8.914894,r,64,False,bunt,1645847
sunflower,5,0.999198,g,8,True,dominant,1692156
chameleon,5,1.222903,r,16,False,dominant,1602827
women-portrait-blue,2,6.755366,r,64,False,dominant,1334286
parrot-1,1,1.283883,g,64,False,dominant,1286005
women-portrait-blue,5,16.0296,r,8,False,dominant,1481163
landscape-mountains-1,5,1.642841,b,16,True,bunt,1782109
boy,5,3.013896,g,2,False,ausgeglichen,1986269
women-portrait,5,1.82108,r,8,True,dominant,1548721
buildings-1,5,2.892103,b,8,True,bunt,1620062
protrait-man,4,2.34272,b,16,False,ausgeglichen,983930
boy,2,1.412631,g,32,False,ausgeglichen,1755699
parrot-1,5,5.230997,r,8,True,dominant,1378776
women-portrait-blue,2,2.304907,g,64,False,dominant,1395146
women-portrait-blue,5,3.029082,b,32,True,dominant,1411735
landscape-mountains-1,1,2.300712,g,64,True,bunt,1693941
buildings-1,5,2.369701,b,2,True,bunt,1732860
parrot-1,5,1.709711,g,8,False,dominant,1409332
colorful-flowers,5,1.998406,r,2,True,bunt,1976069
landscape-mountains-1,5,8.071419,g,2,True,bunt,1974709
colorful-flowers,5,2.644871,g,8,True,bunt,1865947
parrot-1,5,1.122567,b,8,False,dominant,1376723
sunflower,5,1.233915,b,64,False,dominant,1481298
buildings-1,5,3.077971,r,2,True,bunt,1730820
buildings-1,4,2.154813,b,16,True,bunt,1568876
buildings-1,4,2.109094,r,16,True,bunt,1554914
landscape-mountains-1,5,8.533688,n,0,False,bunt,3612553
women-portrait-blue,5,1.426877,n,0,False,dominant,3611479
colorful-flowers,4,5.521044,n,0,False,bunt,3615135
buildings-1,3,5.079935,n,0,False,bunt,3614372
boy,5,1.648563,n,0,False,ausgeglichen,3613333
chameleon,5,12.068556,n,0,False,dominant,3612735
sunflower,5,1.495668,n,0,False,dominant,3615358
protrait-man,5,2.569817,n,0,False,ausgeglichen,3611150
parrot-1,5,1.408875,n,0,False,dominant,3613869
women-portrait,5,1.718825,n,0,False,dominant,3612827
boy,3,2.048412,b,8,True,ausgeglichen,1846232
parrot-1,3,2.589851,r,16,True,dominant,1328697
chameleon,4,1.187974,r,16,False,dominant,1602827
chameleon,4,3.486642,r,2,False,dominant,1774469
boy,3,4.541458,n,0,False,ausgeglichen,3613333
protrait-man,1,1.762373,g,64,False,ausgeglichen,954435
chameleon,4,1.281645,r,32,False,dominant,1549741
parrot-1,3,1.367453,g,8,False,dominant,1409332
sunflower,3,1.914208,g,32,True,dominant,1575103
chameleon,4,3.676463,g,16,True,dominant,1620124
chameleon,5,1.731792,g,2,True,dominant,1780385
colorful-flowers,3,3.884685,r,16,True,bunt,1798205
women-portrait,2,2.437454,b,32,False,dominant,1451947
parrot-1,3,2.648979,g,2,False,dominant,1487599
landscape-mountains-1,1,6.10654,r,64,False,bunt,1645847
women-portrait,4,3.506736,r,2,True,dominant,1668639
chameleon,5,8.547,n,0,False,dominant,3612735
women-portrait,1,2.593689,g,32,False,dominant,1478226
buildings-1,4,9.390925,b,64,True,bunt,1464487
women-portrait,4,4.81815,r,8,True,dominant,1548721
protrait-man,1,2.089333,g,32,False,ausgeglichen,988913
women-portrait,2,2.534597,b,64,False,dominant,1405429
women-portrait-blue,2,1.903913,g,16,False,dominant,1494707
colorful-flowers,1,1.168101,g,64,True,bunt,1698274
women-portrait,1,0.968757,r,64,True,dominant,1388210
protrait-man,2,1.583423,r,16,False,ausgeglichen,995100
women-portrait,1,0.703834,g,64,False,dominant,1434450
women-portrait-blue,2,2.919497,g,8,False,dominant,1533223
sunflower,4,4.016423,g,2,True,dominant,1799423
women-portrait-blue,4,2.162679,r,8,False,dominant,1481163
parrot-1,4,4.324844,r,8,True,dominant,1378776
women-portrait-blue,2,2.451827,b,16,True,dominant,1470592
landscape-mountains-1,1,1.506381,g,16,True,bunt,1802081
protrait-man,1,0.796511,r,64,False,ausgeglichen,929575
sunflower,1,2.804274,b,64,False,dominant,1481298
women-portrait-blue,2,1.772405,b,2,True,dominant,1622899
women-portrait-blue,2,2.106098,n,0,False,dominant,3611479
women-portrait,4,3.910748,b,16,False,dominant,1512537
parrot-1,4,3.590301,b,16,False,dominant,1326265
landscape-mountains-1,2,1.81784,b,32,True,bunt,1719559
buildings-1,3,6.949374,n,0,False,bunt,3614372
women-portrait-blue,5,4.772787,b,8,True,dominant,1517539
boy,1,1.318814,r,32,True,ausgeglichen,1724988
sunflower,1,0.810832,g,64,True,dominant,1524907
parrot-1,2,1.880828,r,32,True,dominant,1283118
boy,3,3.047477,b,2,True,ausgeglichen,1967649
parrot-1,2,4.867468,b,32,False,dominant,1279196
colorful-flowers,3,6.745306,g,16,True,bunt,1806067
sunflower,3,3.597857,n,0,False,dominant,3615358
sunflower,3,1.211721,b,8,False,dominant,1642842
sunflower,3,8.23439,r,16,True,dominant,1620613
sunflower,2,3.697349,g,8,True,dominant,1692156
women-portrait,2,2.324058,g,8,False,dominant,1593928
buildings-1,1,1.432279,r,32,True,bunt,1501470
buildings-1,2,2.914834,r,2,True,bunt,1730820
sunflower,1,1.747226,r,32,True,dominant,1563355
parrot-1,1,0.78373,g,64,False,dominant,1286005
buildings-1,2,2.249332,g,8,False,bunt,1639884
boy,1,1.192995,r,64,True,ausgeglichen,1665296
boy,4,2.661849,b,16,True,ausgeglichen,1788808
buildings-1,3,2.022805,r,8,True,bunt,1613539
landscape-mountains-1,2,3.05846,r,32,False,bunt,1697798
landscape-mountains-1,3,4.122508,b,2,True,bunt,1966749
protrait-man,1,2.560142,b,32,False,ausgeglichen,947520
landscape-mountains-1,4,4.659579,b,16,True,bunt,1782109
women-portrait,1,1.114291,r,32,True,dominant,1432515
women-portrait,3,1.639148,b,2,False,dominant,1673259
women-portrait-blue,1,1.137457,r,64,False,dominant,1334286
women-portrait-blue,4,3.600717,g,2,False,dominant,1623040
protrait-man,2,2.320458,g,8,False,ausgeglichen,1057146
protrait-man,1,0.664749,r,32,False,ausgeglichen,955805
sunflower,4,5.889648,r,2,True,dominant,1794731
boy,1,1.141596,g,32,False,ausgeglichen,1755699
landscape-mountains-1,1,1.2225,b,64,True,bunt,1666004
women-portrait,4,4.220797,r,16,True,dominant,1489510
chameleon,2,3.507617,b,64,False,dominant,1484135
protrait-man,1,1.868235,g,16,False,ausgeglichen,1021255
protrait-man,2,5.821269,b,64,False,ausgeglichen,917447
protrait-man,5,10.028343,n,0,False,ausgeglichen,3611150
women-portrait,2,3.133078,g,16,False,dominant,1536851
colorful-flowers,4,3.983724,b,2,True,bunt,1948480
colorful-flowers,3,2.167708,g,8,True,bunt,1865947
women-portrait-blue,3,3.146967,r,16,False,dominant,1430798
boy,2,2.517136,r,16,True,ausgeglichen,1792184
buildings-1,1,1.546835,b,32,True,bunt,1512992
parrot-1,2,1.61518,b,2,False,dominant,1474967
landscape-mountains-1,5,2.237501,r,8,False,bunt,1825728
buildings-1,1,1.149031,g,64,False,bunt,1504452
protrait-man,2,2.937102,b,2,False,ausgeglichen,1098420
chameleon,5,2.759865,g,8,True,dominant,1674493
parrot-1,5,2.660444,n,0,False,dominant,3613869
boy,1,1.287965,b,64,True,ausgeglichen,1667838
women-portrait,4,2.643606,g,2,False,dominant,1686824
protrait-man,4,1.541424,r,2,False,ausgeglichen,1102650
landscape-mountains-1,5,2.888037,n,0,False,bunt,3612553
women-portrait-blue,3,1.754811,r,2,False,dominant,1596626
colorful-flowers,4,1.059478,r,8,True,bunt,1858237
sunflower,1,1.51524,r,64,True,dominant,1521414
chameleon,1,1.18897,g,32,True,dominant,1563034
landscape-mountains-1,4,1.767467,b,8,True,bunt,1848711
landscape-mountains-1,4,2.673616,r,2,False,bunt,1959463
sunflower,1,2.048016,b,16,False,dominant,1577758
chameleon,3,3.516228,b,32,False,dominant,1526202
boy,1,0.965488,g,64,False,ausgeglichen,1697505
chameleon,1,1.601575,r,64,False,dominant,1501954
parrot-1,3,2.218258,r,2,True,dominant,1476590
colorful-flowers,2,1.430334,g,32,True,bunt,1745745
parrot-1,2,2.416327,g,16,False,dominant,1361433
chameleon,5,1.640602,r,8,False,dominant,1656610
colorful-flowers,2,7.043767,r,32,True,bunt,1737132
women-portrait,3,1.540538,n,0,False,dominant,3612827
colorful-flowers,4,1.352976,n,0,False,bunt,3615135
sunflower,2,1.220189,g,16,True,dominant,1630932
women-portrait,2,1.963389,b,8,False,dominant,1566554
buildings-1,4,2.146333,g,2,False,bunt,1742597
women-portrait-blue,3,1.777889,b,64,True,dominant,1379057
colorful-flowers,5,2.865624,b,32,True,bunt,1650075
chameleon,1,1.119415,g,64,True,dominant,1517897
chameleon,4,2.091518,b,8,False,dominant,1636571
protrait-man,2,1.853599,b,16,False,ausgeglichen,983930
landscape-mountains-1,1,1.013109,g,32,True,bunt,1743767
protrait-man,5,3.23979,b,8,False,ausgeglichen,1019660
landscape-mountains-1,4,2.258523,g,2,True,bunt,1974709
buildings-1,1,1.074515,r,64,True,bunt,1462046
women-portrait-blue,4,2.554047,b,32,True,dominant,1411735
parrot-1,1,0.977669,r,64,True,dominant,1248183
landscape-mountains-1,4,1.681856,r,16,False,bunt,1760551
colorful-flowers,3,22.805563,b,64,True,bunt,1607054
sunflower,2,1.952846,r,8,True,dominant,1677477
buildings-1,1,1.206678,g,16,False,bunt,1586216
landscape-mountains-1,3,1.283248,g,8,True,bunt,1867469
sunflower,5,4.247874,b,2,False,dominant,1782336
protrait-man,5,2.847874,r,8,False,ausgeglichen,1027811
landscape-mountains-1,1,1.020717,g,64,True,bunt,1693941
protrait-man,5,6.229253,g,2,False,ausgeglichen,1120786
colorful-flowers,5,4.564268,b,8,True,bunt,1773313
chameleon,5,1.888645,b,16,False,dominant,1577943
boy,4,1.726877,g,8,False,ausgeglichen,1885348
boy,3,3.093266,r,8,True,ausgeglichen,1854167
women-portrait-blue,1,1.37266,g,32,False,dominant,1430156
parrot-1,1,1.891003,b,64,False,dominant,1245966
buildings-1,4,1.832734,b,8,True,bunt,1620062
chameleon,5,1.540845,b,2,False,dominant,1770933
buildings-1,2,5.03293,b,16,True,bunt,1568876
women-portrait-blue,1,1.092595,g,64,False,dominant,1395146
boy,4,3.776509,r,2,True,ausgeglichen,1970444
colorful-flowers,5,3.906525,g,2,True,bunt,1979529
colorful-flowers,5,3.815735,r,2,True,bunt,1976069
buildings-1,1,1.015041,g,32,False,bunt,1540870
colorful-flowers,2,2.423516,r,64,True,bunt,1687900
parrot-1,1,2.441244,g,32,False,dominant,1316312
boy,3,1.846036,g,16,False,ausgeglichen,1826677
buildings-1,5,4.678543,b,2,True,bunt,1732860
boy,2,1.175837,b,32,True,ausgeglichen,1724880
women-portrait-blue,1,1.336411,r,32,False,dominant,1376305
sunflower,2,3.468955,b,32,False,dominant,1519261
boy,5,4.299776,g,2,False,ausgeglichen,1986269
buildings-1,3,2.996275,r,16,True,bunt,1554914
colorful-flowers,5,3.450228,b,16,True,bunt,1701535
parrot-1,4,1.726975,b,8,False,dominant,1376723
landscape-mountains-1,4,8.725363,b,32,True,bunt,1719559
colorful-flowers,2,2.152875,g,8,True,bunt,1865947
sunflower,4,6.064875,r,16,True,dominant,1620613
landscape-mountains-1,2,4.375277,g,32,True,bunt,1743767
women-portrait,2,3.868155,b,64,False,dominant,1405429
parrot-1,3,2.22737,g,2,False,dominant,1487599
sunflower,4,3.959846,g,2,True,dominant,1799423
sunflower,4,3.429471,r,32,True,dominant,1563355
protrait-man,2,1.672921,b,64,False,ausgeglichen,917447
buildings-1,2,3.707635,r,16,True,bunt,1554914
protrait-man,1,3.572285,r,32,False,ausgeglichen,955805
women-portrait-blue,1,1.016495,g,64,False,dominant,1395146
protrait-man,1,0.85732,g,32,False,ausgeglichen,988913
women-portrait,4,6.546185,b,8,False,dominant,1566554
women-portrait,2,1.712555,g,32,False,dominant,1478226
buildings-1,1,3.810875,b,32,True,bunt,1512992
buildings-1,3,4.904768,b,2,True,bunt,1732860
boy,1,1.151959,g,64,False,ausgeglichen,1697505
landscape-mountains-1,2,4.200539,r,16,False,bunt,1760551
buildings-1,1,1.689238,r,64,True,bunt,1462046
boy,4,4.433323,g,16,False,ausgeglichen,1826677
women-portrait-blue,4,2.659724,b,32,True,dominant,1411735
boy,5,4.156123,b,2,True,ausgeglichen,1967649
protrait-man,2,1.623496,b,32,False,ausgeglichen,947520
sunflower,4,6.354048,b,16,False,dominant,1577758
boy,4,2.489461,g,8,False,ausgeglichen,1885348
landscape-mountains-1,4,4.033795,b,2,True,bunt,1966749
buildings-1,3,9.443357,b,8,True,bunt,1620062
landscape-mountains-1,1,2.907876,r,64,False,bunt,1645847
women-portrait-blue,5,6.879173,r,2,False,dominant,1596626
women-portrait,1,1.224896,g,64,False,dominant,1434450
sunflower,4,4.762306,g,16,True,dominant,1630932
sunflower,4,3.014549,b,64,False,dominant,1481298
buildings-1,1,3.5736,r,32,True,bunt,1501470
landscape-mountains-1,3,3.058123,b,8,True,bunt,1848711
colorful-flowers,2,1.667396,r,2,True,bunt,1976069
women-portrait,5,6.811836,g,2,False,dominant,1686824
boy,1,2.570837,b,64,True,ausgeglichen,1667838
chameleon,3,9.253312,g,2,True,dominant,1780385
buildings-1,1,1.281621,g,64,False,bunt,1504452
women-portrait-blue,2,1.861569,g,16,False,dominant,1494707
women-portrait-blue,2,1.636054,g,32,False,dominant,1430156
sunflower,1,6.036282,g,32,True,dominant,1575103
boy,2,2.02043,r,32,True,ausgeglichen,1724988
women-portrait-blue,4,3.482163,r,16,False,dominant,1430798
women-portrait-blue,4,3.539789,r,8,False,dominant,1481163
chameleon,4,2.975013,b,8,False,dominant,1636571
buildings-1,1,2.948233,g,16,False,bunt,1586216
boy,3,7.363875,r,8,True,ausgeglichen,1854167
parrot-1,1,1.425166,g,64,False,dominant,1286005
chameleon,3,4.170464,r,2,False,dominant,1774469
landscape-mountains-1,3,1.845035,b,16,True,bunt,1782109
women-portrait,3,3.403701,g,8,False,dominant,1593928
chameleon,3,3.806318,b,32,False,dominant,1526202
landscape-mountains-1,4,3.533215,g,2,True,bunt,1974709
women-portrait-blue,2,4.163378,b,64,True,dominant,1379057
colorful-flowers,2,1.297831,r,16,True,bunt,1798205
women-portrait-blue,2,2.342305,r,32,False,dominant,1376305
colorful-flowers,2,5.70215,b,8,True,bunt,1773313
protrait-man,1,1.071069,g,64,False,ausgeglichen,954435
colorful-flowers,2,4.02832,b,64,True,bunt,1607054
buildings-1,2,3.787178,r,2,True,bunt,1730820
parrot-1,2,2.728082,b,64,False,dominant,1245966
sunflower,5,6.209917,r,8,True,dominant,1677477
landscape-mountains-1,1,3.1026,g,64,True,bunt,1693941
parrot-1,2,1.685148,b,2,False,dominant,1474967
colorful-flowers,3,5.525105,g,2,True,bunt,1979529
parrot-1,2,1.527986,r,32,True,dominant,1283118
women-portrait,1,2.711949,r,32,True,dominant,1432515
protrait-man,4,4.394263,r,8,False,ausgeglichen,1027811
chameleon,4,4.965112,b,2,False,dominant,1770933
sunflower,4,3.036786,g,8,True,dominant,1692156
parrot-1,3,2.952699,g,16,False,dominant,1361433
protrait-man,3,1.639663,b,2,False,ausgeglichen,1098420
protrait-man,3,1.66161,r,16,False,ausgeglichen,995100
protrait-man,3,2.310363,r,2,False,ausgeglichen,1102650
protrait-man,3,4.222501,g,2,False,ausgeglichen,1120786
women-portrait,1,1.621902,r,64,True,dominant,1388210
parrot-1,3,9.935715,g,8,False,dominant,1409332
buildings-1,2,2.484597,g,8,False,bunt,1639884
chameleon,4,7.29214,b,64,False,dominant,1484135
chameleon,4,1.330435,g,16,True,dominant,1620124
chameleon,4,1.512103,r,8,False,dominant,1656610
women-portrait,3,4.346938,b,32,False,dominant,1451947
landscape-mountains-1,4,2.878181,r,8,False,bunt,1825728
chameleon,4,3.381811,r,64,False,dominant,1501954
boy,4,2.859637,b,16,True,ausgeglichen,1788808
chameleon,4,2.891411,r,32,False,dominant,1549741
buildings-1,1,1.790566,g,32,False,bunt,1540870
buildings-1,2,1.774658,r,8,True,bunt,1613539
women-portrait-blue,4,4.255418,b,8,True,dominant,1517539
parrot-1,4,3.070679,b,16,False,dominant,1326265
women-portrait,3,1.737745,g,16,False,dominant,1536851
women-portrait-blue,4,4.437956,g,2,False,dominant,1623040
protrait-man,1,1.262655,r,64,False,ausgeglichen,929575
boy,4,9.277356,r,16,True,ausgeglichen,1792184
sunflower,4,2.044569,r,2,True,dominant,1794731
chameleon,5,1.650919,g,8,True,dominant,1674493
boy,4,2.894389,g,2,False,ausgeglichen,1986269
chameleon,4,2.272818,g,32,True,dominant,1563034
colorful-flowers,4,7.831468,r,8,True,bunt,1858237
chameleon,1,1.438769,g,64,True,dominant,1517897
landscape-mountains-1,4,4.204861,g,8,True,bunt,1867469
chameleon,4,3.227267,b,16,False,dominant,1577943
sunflower,1,1.155185,g,64,True,dominant,1524907
buildings-1,1,2.663765,b,16,True,bunt,1568876
women-portrait-blue,2,1.274792,r,64,False,dominant,1334286
colorful-flowers,1,1.205402,g,32,True,bunt,1745745
